iter	Passed	Remaining
896	6680	767
897	6685	759
898	6691	751
899	6697	744
900	6704	736
901	6711	729
902	6717	721
903	6725	714
904	6730	706
905	6739	699
906	6753	692
907	6759	684
908	6766	677
909	6772	669
910	6779	662
911	6786	654
912	6793	647
913	6800	639
914	6807	632
915	6813	624
916	6821	617
917	6828	609
918	6834	602
919	6840	594
920	6849	587
921	6857	580
922	6863	572
923	6873	565
924	6880	557
925	6888	550
926	6899	543
927	6910	536
928	6919	528
929	6926	521
930	6932	513
931	6938	506
932	6945	498
933	6951	491
934	6958	483
935	6963	476
936	6970	468
937	6976	461
938	6982	453
939	6988	446
940	6994	438
941	7001	431
942	7006	423
943	7012	416
944	7019	408
945	7025	401
946	7034	393
947	7041	386
948	7047	378
949	7054	371
950	7062	363
951	7068	356
952	7075	348
953	7082	341
954	7088	334
955	7098	326
956	7106	319
957	7118	312
958	7147	305
959	7153	298
960	7160	290
961	7166	283
962	7173	275
963	7179	268
964	7185	260
965	7193	253
966	7198	245
967	7205	238
968	7212	230
969	7219	223
970	7225	215
971	7231	208
972	7238	200
973	7244	193
974	7251	185
975	7257	178
976	7263	170
977	7270	163
978	7277	156
979	7284	148
980	7290	141
981	7297	133
982	7304	126
983	7310	118
984	7318	111
985	7325	104
986	7333	96
987	7341	89
988	7349	81
989	7356	74
990	7364	66
991	7370	59
992	7377	52
993	7384	44
994	7391	37
995	7398	29
996	7404	22
997	7411	14
998	7417	7
999	7425	0
