iter	Passed	Remaining
598	3624	2426
599	3629	2419
600	3638	2415
601	3650	2413
602	3658	2408
603	3672	2407
604	3682	2404
605	3688	2397
606	3692	2390
607	3697	2384
608	3701	2376
609	3706	2369
610	3712	2363
611	3716	2356
612	3721	2349
613	3726	2343
614	3731	2335
615	3735	2328
616	3741	2322
617	3745	2315
618	3748	2307
619	3753	2300
620	3757	2293
621	3761	2286
622	3766	2279
623	3771	2272
624	3775	2265
625	3781	2259
626	3786	2252
627	3791	2246
628	3795	2238
629	3801	2232
630	3809	2227
631	3823	2226
632	3832	2222
633	3842	2218
634	3850	2213
635	3854	2206
636	3859	2199
637	3864	2192
638	3871	2186
639	3876	2180
640	3880	2173
641	3887	2167
642	3891	2160
643	3895	2153
644	3898	2145
645	3902	2138
646	3905	2130
647	3910	2124
648	3914	2116
649	3917	2109
650	3921	2102
651	3926	2095
652	3931	2089
653	3935	2082
654	3940	2075
655	3944	2068
656	3948	2061
657	3951	2054
658	3956	2047
659	3961	2040
660	3965	2033
661	3969	2026
662	3975	2020
663	3978	2013
664	3983	2006
665	3987	1999
666	3991	1992
667	3995	1985
668	4000	1979
669	4005	1972
670	4008	1965
671	4012	1958
672	4020	1953
673	4027	1947
674	4066	1958
675	4083	1957
676	4090	1951
677	4102	1948
678	4112	1944
679	4122	1940
680	4128	1933
681	4133	1927
682	4136	1920
683	4141	1913
684	4147	1907
685	4152	1900
686	4156	1893
687	4159	1886
688	4163	1879
689	4167	1872
690	4171	1865
691	4174	1858
692	4178	1850
693	4181	1843
694	4185	1836
695	4190	1830
696	4194	1823
697	4198	1816
698	4202	1809
699	4207	1803
700	4229	1804
701	4234	1797
702	4248	1794
703	4260	1791
704	4279	1790
705	4287	1785
706	4293	1779
707	4298	1772
708	4305	1767
709	4311	1760
710	4317	1755
711	4322	1748
712	4328	1742
713	4333	1735
714	4337	1728
715	4341	1721
716	4344	1714
717	4350	1708
718	4354	1701
719	4360	1695
720	4365	1689
721	4368	1682
722	4373	1675
723	4377	1668
724	4380	1661
725	4385	1655
726	4392	1649
727	4398	1643
728	4404	1637
729	4414	1632
730	4420	1626
731	4425	1620
732	4432	1614
733	4439	1608
734	4443	1602
735	4448	1595
736	4451	1588
737	4455	1581
738	4459	1575
739	4463	1568
740	4467	1561
741	4471	1554
742	4475	1548
743	4478	1541
744	4482	1534
745	4485	1527
746	4489	1520
747	4492	1513
748	4496	1506
749	4500	1500
750	4504	1493
751	4507	1486
752	4511	1479
753	4515	1473
754	4520	1466
755	4524	1460
756	4526	1453
757	4530	1446
758	4535	1440
759	4539	1433
760	4543	1426
761	4547	1420
762	4551	1413
763	4555	1407
764	4559	1400
765	4565	1394
766	4571	1388
767	4579	1383
768	4583	1376
769	4590	1371
770	4594	1364
771	4598	1358
772	4602	1351
773	4607	1345
774	4612	1339
775	4616	1332
776	4622	1326
777	4626	1320
778	4629	1313
779	4633	1306
780	4636	1300
781	4644	1294
782	4655	1290
783	4658	1283
784	4662	1277
785	4666	1270
786	4670	1263
787	4673	1257
788	4677	1250
789	4682	1244
790	4686	1238
791	4689	1231
792	4698	1226
793	4703	1220
794	4708	1214
795	4712	1207
796	4716	1201
797	4722	1195
798	4728	1189
799	4733	1183
800	4738	1177
801	4743	1171
802	4751	1165
803	4756	1159
804	4764	1154
805	4809	1157
806	4849	1159
807	4853	1153
808	4857	1146
809	4861	1140
810	4865	1133
811	4869	1127
812	4889	1124
813	4899	1119
814	4909	1114
815	4913	1107
816	4928	1103
